id,wildfire_ha
052021,0.0
052022,0.0
052023,0.0
052024,45.0
052025,97.0
052026,0.0
052027,129.0
052028,0.0
052030,0.0
052031,45.0
052032,0.0
052033,6.0
052034,0.0
052035,0.0
052036,0.0
052037,0.0
053001,0.0
053002,36.0
053003,0.0
053004,0.0
053005,29.0
053006,200.0
053007,846.0
053008,52.0
053009,0.0
053010,0.0
053011,0.0
053012,0.0
053013,0.0
053014,175.0
053015,21.0
053016,3.0
053017,0.0
053018,72.0
053019,0.0
053020,35.0
053021,0.0
053022,0.0
053023,138.0
053024,0.0
053025,0.0
053026,0.0
053027,73.0
053028,0.0
054001,0.0
054002,0.0
054003,0.0
054004,0.0
054005,0.0
054006,0.0
054007,20.0
054008,0.0
054009,0.0
054010,0.0
054011,5.0
054012,49.0
054013,8.0
054014,0.0
054015,0.0
054016,87.0
054017,0.0
054018,0.0
054019,0.0
054020,0.0
054021,22.0
054022,0.0
054023,0.0
054024,179.0
054025,0.0
054026,0.0
054027,0.0
054028,0.0
054029,0.0
054030,0.0
054031,0.0
054032,6.0
054033,0.0
054034,0.0
054035,22.0
054036,0.0
054037,68.0
054038,0.0
054039,0.0
054040,0.0
054041,18.0
054042,0.0
054043,402.0
054044,0.0
054045,0.0
054046,0.0
054047,0.0
054048,0.0
054049,0.0
054050,0.0
054051,153.0
054052,0.0
054053,0.0
054054,0.0
054055,30.0
054056,0.0
054057,0.0
054058,0.0
054059,11.0
055001,0.0
055002,0.0
055003,164.0
055004,0.0
055005,0.0
055006,0.0
055007,46.0
055008,0.0
055009,0.0
055010,9.0
055011,0.0
055012,134.0
055013,11.0
055014,0.0
055015,269.0
055016,0.0
055017,0.0
055018,91.0
055019,0.0
055020,0.0
055021,0.0
055022,0.0
055023,30.0
055024,0.0
055025,0.0
055026,0.0
055027,134.0
055028,0.0
055029,0.0
055030,0.0
055031,50.0
055032,61.0
055033,0.0
056001,0.0
056002,0.0
056003,64.0
056004,65.0
056005,0.0
056006,0.0
056007,307.0
056008,0.0
056009,0.0
056010,37.0
056011,0.0
056012,14.0
056013,0.0
056014,2.0
056015,0.0
056016,0.0
056017,0.0
056018,0.0
056019,0.0
056020,0.0
056021,0.0
056022,0.0
056023,0.0
056024,0.0
056025,55.0
056026,0.0
056027,10.0
056028,0.0
056029,0.0
056030,0.0
056031,0.0
056032,0.0
056033,0.0
056034,0.0
056035,0.0
056036,0.0
056037,402.0
056038,0.0
056039,8.0
056040,0.0
056041,0.0
056042,0.0
056043,0.0
056044,0.0
056045,0.0
056046,0.0
056047,0.0
056048,35.0
056049,0.0
056050,50.0
056051,0.0
056052,4.0
056053,8.0
056054,0.0
056055,17.0
056056,37.0
056057,111.0
056058,0.0
056059,136.0
056060,0.0
057001,667.0
057002,667.0
057003,912.0
057004,0.0
057005,0.0
057006,27.0
057007,123.0
057008,84.0
057009,0.0
057010,0.0
057011,0.0
057012,0.0
057013,0.0
057014,55.0
057015,0.0
057016,97.0
057017,687.0
057018,0.0
057019,0.0
057020,0.0
057021,0.0
057022,0.0
057023,0.0
057024,50.0
057025,0.0
057026,0.0
057027,209.0
057028,71.0
057029,0.0
057030,0.0
057031,0.0
057032,0.0
057033,0.0
057034,0.0
057035,0.0
057036,0.0
057037,818.0
057038,55.0
057039,0.0
057040,0.0
057041,0.0
057042,40.0
057043,40.0
057044,0.0
057045,0.0
057046,0.0
057047,0.0
057048,0.0
057049,249.0
057050,191.0
057051,89.0
057052,0.0
057053,0.0
057054,0.0
057055,55.0
057056,0.0
057057,0.0
057058,10.0
057059,69.0
057060,0.0
057061,0.0
057062,0.0
057063,0.0
057064,54.0
057065,0.0
057066,0.0
057067,0.0
057068,260.0
057069,0.0
057070,0.0
057071,0.0
057072,0.0
057073,0.0
058001,75.0
058002,0.0
058003,0.0
058004,0.0
058005,473.0
058006,0.0
058007,0.0
058008,0.0
058009,0.0
058010,0.0
058011,418.0
058012,46.0
058013,316.0
058014,0.0
058015,409.0
058016,0.0
058017,0.0
058018,240.0
058019,20.0
058020,34.0
058021,0.0
058022,0.0
058023,27.0
058024,275.0
058025,0.0
058026,0.0
058027,0.0
058028,0.0
058029,27.0
